river_id,target_date,horizon_day,pred_flow,true_flow,capacity_q95,true_class,pred_flow_adjusted,pred_class
1540500,2022-12-04,6,22003.4375,18500.0,48974.999999999825,0,24203.781250000004,0
1540500,2022-12-05,7,20363.5234375,16600.0,48974.999999999825,0,22399.87578125,0
1540500,2022-12-06,8,16883.578125,16300.0,48974.999999999825,0,18571.935937500002,0
1540500,2022-12-07,9,17912.138671875,18400.0,48974.999999999825,0,19703.3525390625,0
1540500,2022-12-08,10,23900.3984375,18600.0,48974.999999999825,0,26290.43828125,0
1540500,2022-12-04,1,21624.77734375,18500.0,48974.999999999825,0,23787.255078125003,0
1540500,2022-12-05,2,20105.345703125,16600.0,48974.999999999825,0,22115.880273437502,0
1540500,2022-12-06,3,16683.7734375,16300.0,48974.999999999825,0,18352.150781250002,0
1540500,2022-12-07,4,17775.1875,18400.0,48974.999999999825,0,19552.706250000003,0
1540500,2022-12-08,5,23893.814453125,18600.0,48974.999999999825,0,26283.1958984375,0
1540500,2022-12-09,6,21234.416015625,18500.0,48974.999999999825,0,23357.857617187503,0
1540500,2022-12-10,7,19656.798828125,20000.0,48974.999999999825,0,21622.478710937503,0
1540500,2022-12-11,8,20150.107421875,18500.0,48974.999999999825,0,22165.1181640625,0
1540500,2022-12-12,9,17370.056640625,16700.0,48974.999999999825,0,19107.0623046875,0
1540500,2022-12-13,10,15877.9404296875,15200.0,48974.999999999825,0,17465.73447265625,0
1540500,2022-12-09,1,20924.970703125,18500.0,48974.999999999825,0,23017.467773437504,0
1540500,2022-12-10,2,19412.01171875,20000.0,48974.999999999825,0,21353.212890625,0
1540500,2022-12-11,3,19988.60546875,18500.0,48974.999999999825,0,21987.466015625003,0
1540500,2022-12-12,4,17240.8828125,16700.0,48974.999999999825,0,18964.971093750002,0
1540500,2022-12-13,5,15772.052734375,15200.0,48974.999999999825,0,17349.258007812503,0
1540500,2022-12-14,6,14473.26171875,14000.0,48974.999999999825,0,15920.587890625002,0
1540500,2022-12-15,7,13095.5302734375,13100.0,48974.999999999825,0,14405.08330078125,0
1540500,2022-12-16,8,12283.705078125,14200.0,48974.999999999825,0,13512.0755859375,0
1540500,2022-12-17,9,16277.3740234375,16200.0,48974.999999999825,0,17905.11142578125,0
1540500,2022-12-18,10,18137.025390625,15900.0,48974.999999999825,0,19950.727929687502,0
1540500,2022-12-14,1,14371.18359375,14000.0,48974.999999999825,0,15808.301953125001,0
1540500,2022-12-15,2,13016.361328125,13100.0,48974.999999999825,0,14317.9974609375,0
1540500,2022-12-16,3,12217.1923828125,14200.0,48974.999999999825,0,13438.911621093752,0
1540500,2022-12-17,4,16255.3193359375,16200.0,48974.999999999825,0,17880.851269531253,0
1540500,2022-12-18,5,18137.12109375,15900.0,48974.999999999825,0,19950.833203125003,0
1540500,2022-12-19,6,16650.62109375,15900.0,48974.999999999825,0,18315.683203125,0
1540500,2022-12-20,7,16507.388671875,15000.0,48974.999999999825,0,18158.1275390625,0
1540500,2022-12-21,8,15177.3837890625,13500.0,48974.999999999825,0,16695.12216796875,0
1540500,2022-12-22,9,13858.7314453125,12300.0,48974.999999999825,0,15244.604589843751,0
1540500,2022-12-23,10,15080.05078125,18600.0,48974.999999999825,0,16588.055859375003,0
1540500,2022-12-19,1,16591.16796875,15900.0,48974.999999999825,0,18250.284765625,0
1540500,2022-12-20,2,16456.294921875,15000.0,48974.999999999825,0,18101.9244140625,0
1540500,2022-12-21,3,15139.6533203125,13500.0,48974.999999999825,0,16653.61865234375,0
1540500,2022-12-22,4,13827.412109375,12300.0,48974.999999999825,0,15210.153320312502,0
1540500,2022-12-23,5,15053.51171875,18600.0,48974.999999999825,0,16558.862890625,0
1540500,2022-12-24,6,45950.203125,49500.0,48974.999999999825,1,50545.223437500004,0
1540500,2022-12-25,7,61501.1796875,61500.0,48974.999999999825,1,67651.29765625001,1
1540500,2022-12-26,8,47039.04296875,48500.0,48974.999999999825,0,51742.94726562501,1
1540500,2022-12-27,9,36453.14453125,37100.0,48974.999999999825,0,40098.458984375,0
1540500,2022-12-28,10,30249.828125,28400.0,48974.999999999825,0,33274.810937500006,0
1540500,2022-12-24,1,46020.34375,49500.0,48974.999999999825,1,50622.378125,0
1540500,2022-12-25,2,61577.40234375,61500.0,48974.999999999825,1,67735.142578125,1
1540500,2022-12-26,3,47073.79296875,48500.0,48974.999999999825,0,51781.172265625006,1
1540500,2022-12-27,4,36458.41796875,37100.0,48974.999999999825,0,40104.259765625,0
1540500,2022-12-28,5,30248.009765625,28400.0,48974.999999999825,0,33272.8107421875,0
1540500,2022-12-29,6,24765.443359375,23500.0,48974.999999999825,0,27241.987695312502,0
1540500,2022-12-30,7,22159.76171875,21600.0,48974.999999999825,0,24375.737890625,0
1540500,2022-12-31,8,22161.634765625,20400.0,48974.999999999825,0,24377.798242187502,0
1540500,2023-01-01,9,22936.87890625,26400.0,48974.999999999825,0,25230.566796875002,0
1540500,2023-01-02,10,34085.1875,37500.0,48974.999999999825,0,37493.70625,0
1540500,2022-12-29,1,24751.302734375,23500.0,48974.999999999825,0,27226.433007812502,0
1540500,2022-12-30,2,22145.9921875,21600.0,48974.999999999825,0,24360.59140625,0
1540500,2022-12-31,3,22148.57421875,20400.0,48974.999999999825,0,24363.431640625004,0
1540500,2023-01-01,4,22927.568359375,26400.0,48974.999999999825,0,25220.325195312504,0
1540500,2023-01-02,5,34087.8984375,37500.0,48974.999999999825,0,37496.688281250004,0
1540500,2023-01-03,6,44040.22265625,42200.0,48974.999999999825,0,48444.244921875004,0
1540500,2023-01-04,7,50808.32421875,45000.0,48974.999999999825,0,55889.156640625006,1
1540500,2023-01-05,8,53637.453125,49600.0,48974.999999999825,1,59001.1984375,1
1540500,2023-01-06,9,53845.41015625,45900.0,48974.999999999825,0,59229.95117187501,1
1540500,2023-01-07,10,44404.66796875,40000.0,48974.999999999825,0,48845.13476562501,0
1540500,2023-01-03,1,44220.05078125,42200.0,48974.999999999825,0,48642.055859375,0
1540500,2023-01-04,2,51013.5234375,45000.0,48974.999999999825,0,56114.875781250004,1
1540500,2023-01-05,3,53787.01953125,49600.0,48974.999999999825,1,59165.721484375004,1
1540500,2023-01-06,4,53953.1953125,45900.0,48974.999999999825,0,59348.51484375,1
1540500,2023-01-07,5,44493.140625,40000.0,48974.999999999825,0,48942.4546875,0
1540500,2023-01-08,6,38890.546875,33900.0,48974.999999999825,0,42779.6015625,0
1540500,2023-01-09,7,32966.93359375,29000.0,48974.999999999825,0,36263.626953125,0
1540500,2023-01-10,8,28898.87109375,25300.0,48974.999999999825,0,31788.758203125002,0
1540500,2023-01-11,9,25794.20703125,22100.0,48974.999999999825,0,28373.627734375,0
1540500,2023-01-12,10,22843.65625,19900.0,48974.999999999825,0,25128.021875000002,0
1540500,2023-01-08,1,38146.421875,33900.0,48974.999999999825,0,41961.0640625,0
1540500,2023-01-09,2,32552.8203125,29000.0,48974.999999999825,0,35808.102343750004,0
1540500,2023-01-10,3,28636.49609375,25300.0,48974.999999999825,0,31500.145703125003,0
1540500,2023-01-11,4,25616.970703125,22100.0,48974.999999999825,0,28178.6677734375,0
1540500,2023-01-12,5,22715.404296875,19900.0,48974.999999999825,0,24986.944726562502,0
1540500,2023-01-13,6,21175.431640625,20700.0,48974.999999999825,0,23292.974804687503,0
1540500,2023-01-14,7,25143.37109375,25200.0,48974.999999999825,0,27657.708203125003,0
1540500,2023-01-15,8,27446.982421875,32300.0,48974.999999999825,0,30191.680664062504,0
1540500,2023-01-16,9,30101.4609375,29500.0,48974.999999999825,0,33111.60703125,0
1540500,2023-01-17,10,24391.3828125,24600.0,48974.999999999825,0,26830.52109375,0
1540500,2023-01-13,1,20803.45703125,20700.0,48974.999999999825,0,22883.802734375004,0
1540500,2023-01-14,2,24807.68359375,25200.0,48974.999999999825,0,27288.451953125,0
1540500,2023-01-15,3,27261.59375,32300.0,48974.999999999825,0,29987.753125000003,0
1540500,2023-01-16,4,29979.609375,29500.0,48974.999999999825,0,32977.5703125,0
1540500,2023-01-17,5,24309.111328125,24600.0,48974.999999999825,0,26740.022460937504,0
1540500,2023-01-18,6,21390.55078125,20800.0,48974.999999999825,0,23529.605859375002,0
1540500,2023-01-19,7,19901.443359375,20000.0,48974.999999999825,0,21891.5876953125,0
1540500,2023-01-20,8,23178.8359375,28700.0,48974.999999999825,0,25496.71953125,0
